IncidentName,FireDiscoveryDateTime,DiscoveryAcres,FinalAcres,IncidentSize,InitialLatitude,InitialLongitude,POOCounty,POOState,FireCause,FireBehaviorGeneral,FireMgmtComplexity,PredominantFuelModel,PredominantFuelGroup,EstimatedCostToDate,EstimatedFinalCost,PercentContained,terrain_slope_pct,road_distance_km,terrain_enriched
GOODWIN,1531268448000,3.0,,3.0,47.06893,-120.7045,Kittitas,US-WA,Human,,,,,,,,2.6,0.11,1.0
ASTRO,1586731916000,3.0,,4.05,46.20651,-122.8552,Cowlitz,US-WA,Human,,,,,,,,9.2,0.06,1.0
TUNNEL,1533071040000,3.0,,15.0,45.7317,-121.4557,Klickitat,US-WA,Human,,,,,,,,25.6,0.34,1.0
EAST DEEP RIVER,1553039377000,3.0,,0.25,46.34889,-123.6747,Wahkiakum,US-WA,Human,,,,,,,,11.3,0.17,1.0
DEER PEN,1474892950000,3.0,,2.0,45.70132,-122.2806,Clark,US-WA,Human,,,,,,,,27.2,0.1,1.0
LITTLETON,1557844560000,3.0,,3.0,48.051235,-123.97858,Clallam,US-WA,Human,,,,,,,,23.1,0.2,1.0
GOOSENECK,1628198220000,3.0,,2.8,45.73085,-121.0825,Klickitat,US-WA,Natural,,,,,,,,21.2,1.03,1.0
WASHAWAY,1500332245000,3.0,,3.0,46.7363,-124.065,Pacific,US-WA,Human,,,,,,,,6.0,0.1,1.0
1430,1599607832000,3.0,,3.0,45.71619,-122.0471,Skamania,US-WA,Human,,,,,,,,18.5,0.67,1.0
RAGLAND RD,1553119416000,3.0,,4.0,46.22389,-122.9908,Cowlitz,US-WA,Unknown,,,,,,,,8.5,0.01,1.0
Price Creek,1506202620000,3.0,,1.0,48.86295,-121.6102,Whatcom,US-WA,Human,,,,,,,,38.4,0.76,1.0
LYLE HILL,1626143460000,3.0,,135.0,45.70302,-121.2694,Klickitat,US-WA,Undetermined,Minimal,Type 4 Incident,,,425000.0,,100.0,25.6,0.69,1.0
GREENWOOD ,1529278869000,3.0,,4.25,46.02702,-122.7228,Cowlitz,US-WA,Human,,,,,,,,18.2,0.33,1.0
EAST WISHRAM,1529775059000,3.0,,52.0,45.65749,-120.9655,Klickitat,US-WA,Human,,,,,,,,10.9,0.08,1.0
COAL CREEK,1553116782000,3.0,,1.0,46.21503,-123.0246,Cowlitz,US-WA,Unknown,,,,,,,,10.1,0.09,1.0
KAMILCHE POINT,1618613408000,3.0,,9.2,46.92926,-122.3059,Mason,US-WA,Unknown,,,,,,,,5.1,0.18,1.0
Bird Creek RX,1507151916000,3.0,,5.0,45.96544,-121.3497,Klickitat,US-WA,Undetermined,,,,,,,,2.0,0.37,1.0
WILDWOOD,1520885971000,3.0,,11.82,46.48603,-123.1011,Lewis,US-WA,Human,,,,,,,,7.4,0.16,1.0
GRIM RD,1532123484000,3.0,,5.1,46.13391,-122.8774,Cowlitz,US-WA,Human,,,,,,,,10.2,0.5,1.0
MILLO LANE,1559086851000,3.0,,4.07,46.26435,-122.8753,Cowlitz,US-WA,Human,,,,,,,,17.1,0.21,1.0
American Camp,1531688160000,3.0,,3.0,48.46555,-123.01721,San Juan,US-WA,Human,,,,,,,,4.6,0.22,1.0
CATTLE,1553025798000,3.0,,6.5,46.6022,-122.648,Lewis,US-WA,Human,,,,,,,,4.8,0.12,1.0
SCORPION COULEE,1506211042000,3.0,,17.0,46.84795,-120.3889,Kittitas,US-WA,Undetermined,,,,,,,,7.7,0.49,1.0
EELLS SPRINGS,1561937400000,3.0,,3.3,47.29469,-123.26,Mason,US-WA,Human,,,,,,,,4.2,0.66,1.0
FISHER HILL,1596938760000,3.0,,33.0,45.74496,-121.2497,Klickitat,US-WA,Unknown,,,,,,,,10.7,0.76,1.0
CEDAR HILL,1438724100000,3.0,,18.0,46.641201,-122.792397,Lewis,US-WA,Undetermined,,,,,,,,7.3,0.49,1.0
Trout Creek Hill,1438740311000,3.0,,1.4,45.8045,-122.0448,Skamania,US-WA,Human,,,,,,,,26.9,0.62,1.0
COWICHE MILL,1592776200000,3.0,,36.8,46.62917,-120.835,Yakima,US-WA,Unknown,,,,,,,,8.2,1.5,1.0
MOUNT WASHINGTON,1625516040000,3.0,,3.25,48.30494,-122.1075,Skagit,US-WA,Human,,,,,,,,27.4,0.14,1.0
GUNDERSON ROAD,1625452440000,3.0,,3.0,48.43731,-122.264,Skagit,US-WA,Human,,,,,,,,6.3,0.12,1.0
LOCKE ROAD,1533780647000,3.0,,5.0,46.95445,-122.5315,Pierce,US-WA,Unknown,,,,,,,,2.2,0.16,1.0
PINE CREEK,1618351093000,3.0,,10.9,46.07816,-122.0132,Skamania,US-WA,Human,,,,,,,,8.1,0.27,1.0
GOODNIGHT,1599590787000,3.0,,3.0,45.91082,-122.5585,Clark,US-WA,Unknown,,,,,,,,8.5,0.17,1.0
THORP PRAIRIE,1498689420000,3.0,,10.0,47.10543,-120.7654,Kittitas,US-WA,Human,,,,,,,,3.5,0.59,1.0
PETERSON HAWK,1529429400000,3.0,,4.2,46.99735,-122.4861,Pierce,US-WA,Human,,,,,,,,2.3,0.2,1.0
ALLEGRO,1680206562000,3.0,,3.0,47.19818,-120.7178,Kittitas,US-WA,Undetermined,,,,,,,,8.9,0.06,1.0
IRON CREEK,1685825520000,3.0,,17.0,46.5054,-121.9524,Lewis,US-WA,Human,Minimal,Type 4 Incident,,,920000.0,3000000.0,100.0,7.1,0.28,1.0
110TH AVE,1686000692000,3.0,,3.0,47.0044,-122.2882,Pierce,US-WA,Human,,,,,,,,3.0,0.16,1.0
COULTER CREEK,1688526035000,3.0,,6.0,47.47941,-122.7342,Kitsap,US-WA,Undetermined,,,,,,,,2.2,0.14,1.0
LAUREL STREET,1688863543000,3.0,,3.0,47.22316,-123.1324,Mason,US-WA,Human,,,,,,,,2.6,0.12,1.0
GRAYBACK,1689103500000,3.0,,3.5,45.992834,-121.061095,Klickitat,US-WA,Undetermined,,,,,,,,20.8,1.5,1.0
GALBRAITH,1689689269000,3.0,,3.57,48.70464,-122.4178,Whatcom,US-WA,Undetermined,,,,,,,,8.4,0.06,1.0
CONNOR CREEK,1690153971000,3.0,,3.0,47.08912,-124.16,Grays Harbor,US-WA,Human,,,,,,,,1.3,0.06,1.0
DEER CREEK,1690860204000,3.0,,3.0,47.27872,-123.0125,Mason,US-WA,Human,,,,,,,,5.5,0.26,1.0
BEAVER VALLEY,1690930920000,3.0,,3.0,47.97422,-122.74,Jefferson,US-WA,Undetermined,,,,,,,,8.6,0.07,1.0
BLUE LAKE,1692082235000,3.0,,530.0,48.504934,-120.675888,Chelan,US-WA,Undetermined,Minimal,Type 5 Incident,,,5001000.0,5750000.0,100.0,40.6,0.27,1.0
ROYCE ROAD,1692398792000,3.0,,3.0,47.28217,-122.9595,Mason,US-WA,Human,,,,,,,,4.3,0.07,1.0
SOUTH FORK,1692979320000,3.0,,15.0,46.60733,-121.670581,Lewis,US-WA,Natural,,,,,,3000000.0,0.0,4.5,0.03,1.0
ROCK CRUSHER,1716161400000,3.0,,3.0,46.87417,-123.697115,Grays Harbor,US-WA,Human,,,,,,,,7.0,0.09,1.0
WARDEN,1718667900000,3.0,,15.6,47.16581,-123.38909,Mason,US-WA,Human,,,,,,,,3.2,0.67,1.0
ROSE SPRINGS,1720389780000,3.0,,3.88,46.759408,-120.371162,Kittitas,US-WA,Human,,,,,,,,9.4,0.83,1.0
TWIN BRIDGES,1721138043000,3.0,,3.0,46.636977,-120.52305,Yakima,US-WA,Human,,,,,,,,14.7,0.16,1.0
SUMMITVIEW,1721699497000,3.0,,3.0,46.600241,-120.646667,Yakima,US-WA,Human,,,,,,,,7.5,0.13,1.0
SWAUK CREEK,1725836040000,3.0,,348.0,47.222696,-120.697842,Kittitas,US-WA,Human,Minimal,,,,6484339.0,10000000.0,100.0,25.5,0.2,1.0
NORTH WENAS,1727652640000,3.0,,3.0,46.723822,-120.556875,Yakima,US-WA,Human,,,,,,,,2.3,0.19,1.0
PORTAGE,1751834640000,3.0,,4.2,48.707575,-122.635037,Whatcom,US-WA,Human,,,,,,,,3.2,0.12,1.0
TOONERVILLE,1752018480000,3.0,,85.0,47.499572,-122.906734,Mason,US-WA,Human,,,,,,,,2.4,0.04,1.0
HILLCREST,1752079620000,3.0,,3.0,46.646651,-120.539146,Yakima,US-WA,Human,,,,,,,,8.2,0.05,1.0
CHARTER,1752447000000,3.0,,5.0,47.189576,-120.980034,Kittitas,US-WA,Human,,,,,,,,4.4,0.16,1.0
BELGIAN,1752614669000,3.0,,1.48,47.706505,-122.919888,Jefferson,US-WA,Human,,,,,,,,22.8,0.05,1.0
SNYDER CANYON,1753303080000,3.0,,53.0,45.833111,-121.185858,Klickitat,US-WA,Natural,Minimal,,,,1392500.0,,100.0,24.3,0.92,1.0
HAMMA,1753651020000,3.0,,65.0,47.57218,-123.0815,Mason,US-WA,Human,Minimal,,,,1408940.0,,95.0,22.7,0.52,1.0
PIPE CREEK,1755814020000,3.0,,20.0,47.333015,-120.617192,Kittitas,US-WA,Human,,,,,,,,21.4,0.33,1.0
SOUTH TOUTLE,1756068286000,3.0,,5.14,46.3562,-122.6909,Cowlitz,US-WA,Human,,,,,,,,4.0,0.04,1.0
MARTIN,1756306080000,3.0,,190.0,48.229295,-120.812743,Chelan,US-WA,Natural,Minimal,,,,379396.0,,95.0,50.9,1.36,1.0
BALD FARM,1760389320000,3.0,,3.0,47.146382,-123.253464,Mason,US-WA,Human,,,,,,,,4.1,0.03,1.0
NORTH BRANCH,1761345468000,3.0,,3.0,47.066935,-120.445806,Kittitas,US-WA,Human,,,,,,,,2.0,0.71,1.0
LOWER FINNEY,1533429300000,2.9,,2.9,48.50764,-121.8207,Skagit,US-WA,Unknown,,,,,,,,18.4,0.89,1.0
OFFUTT LAKE 2,1691972839000,2.9,,2.9,46.90827,-122.8297,Thurston,US-WA,Human,,,,,,,,5.9,0.21,1.0
Wishram,1497063600000,2.78,,2.78,45.67453,-120.9367,Klickitat,US-WA,Human,,,,,,,,33.4,0.76,1.0
GUNN BUTTE,1470352396000,2.76,,2.76,45.90499,-120.9163,Klickitat,US-WA,Human,,,,,,,,5.1,0.63,1.0
EHLI HILL,1596665879000,2.5,,2.5,47.18044,-122.1924,Pierce,US-WA,Unknown,,,,,,,,12.2,0.04,1.0
BAKER 20,1437683910000,2.5,,2.5,48.5313,-121.891998,Skagit,US-WA,Undetermined,,,,,,,,5.3,0.07,1.0
BEAR VALLEY,1621117881000,2.5,,2.5,48.07735,-123.6838,Clallam,US-WA,Human,,,,,,,,29.3,0.4,1.0
MIMA ACRES,1561242840000,2.5,,2.5,46.8433,-122.8766,Thurston,US-WA,Human,,,,,,,,4.1,0.08,1.0
TOWER,1553119948000,2.5,,0.95,46.33678,-122.8273,Cowlitz,US-WA,Human,,,,,,,,6.3,0.28,1.0
CARLTON,1597793760000,2.5,,6.0,46.72031,-121.5397,Lewis,US-WA,Natural,,,TU5,Timber,,1000000.0,,39.3,0.82,1.0
MIRIAM,1532973840000,2.5,,5400.0,46.60984,-121.3488,Yakima,US-WA,Unknown,Minimal,Type 4 Incident,,,14196784.4,,100.0,37.6,1.69,1.0
BIG CREEK,1626910202000,2.5,,5.0,47.164967,-123.85455,Grays Harbor,US-WA,Human,,,,,,,,2.8,0.5,1.0
FRANZ ROAD,1626661140000,2.5,,3.0,45.61211,-122.0848,Skamania,US-WA,Human,,,,,,,,13.4,0.09,1.0
SOUTH PRAIRIE ROAD,1553111045000,2.5,,2.5,47.14273,-122.0971,Pierce,US-WA,Human,,,,,,,,5.7,0.09,1.0
JONES CREEK,1597193008000,2.5,,2.5,45.75849,-122.3013,Clark,US-WA,Unknown,,,,,,,,16.2,0.07,1.0
MASON CREEK,1668902632000,2.5,,2.5,45.8476,-122.5784,Clark,US-WA,Human,,,,,,,,5.4,0.01,1.0
WAPITI,1584652905000,2.5,,9.6,46.88676,-122.7721,Thurston,US-WA,Human,,,,,,,,6.5,0.22,1.0
MERIDIAN 510,1438829565000,2.5,,2.5,47.019001,-122.730103,Thurston,US-WA,Human,,,,,,,,3.5,0.02,1.0
CASCADE SPRINGS,1504073649000,2.5,,4.5,47.11832,-122.1342,Pierce,US-WA,Undetermined,,,,,,,,11.5,0.15,1.0
VIEW RIDGE,1679089680000,2.5,,3.25,46.57478,-122.6112,Lewis,US-WA,Human,,,,,,,,5.9,0.07,1.0
ROBERTS ROAD,1679962413000,2.5,,2.5,46.57595,-122.851,Lewis,US-WA,Human,,,,,,,,3.3,0.1,1.0
COFFIELD,1685995870000,2.5,,2.5,45.660158,-120.962208,Klickitat,US-WA,Human,,,,,,,,12.5,0.01,1.0
FOYE CREEK,1686098682000,2.5,,4.5,47.82364,-121.9601,Snohomish,US-WA,Human,,,,,,,,13.2,0.11,1.0
OA-COOK ROAD,1687465077000,2.5,,2.5,46.583422,-120.739375,Yakima,US-WA,Undetermined,,,,,,,,3.6,0.23,1.0
DRY CREEK,1687978560000,2.5,,4.0,46.919167,-120.859,Kittitas,US-WA,Undetermined,,,,,,,,12.2,0.68,1.0
MIMOSA 2,1688595241000,2.5,,1.0,46.96429,-122.5871,Thurston,US-WA,Undetermined,,,,,,,,2.4,0.05,1.0
SULWHANON,1689302168000,2.5,,2.6,48.88544,-122.3531,Whatcom,US-WA,Undetermined,,,,,,,,1.6,0.02,1.0
BEAR CREEK,1690683272000,2.5,,2.5,48.34313,-122.0605,Skagit,US-WA,Human,,,,,,,,14.5,0.13,1.0
JENNY,1692226973000,2.5,,34.5,45.89134,-122.6717,Clark,US-WA,Human,,,,,,,,8.5,0.1,1.0
STELLA YARD,1694639264000,2.5,,1.23,46.1976,-123.2094,Cowlitz,US-WA,Human,,,,,,,,12.2,0.11,1.0
ROTSCHY MILL,1715833800000,2.5,,2.5,45.913972,-122.393874,Clark,US-WA,Human,,,,,,,,12.4,0.52,1.0
PINE FLAT,1744926697000,2.5,,2.5,45.936543,-121.499164,Klickitat,US-WA,Human,,,,,,,,12.7,0.21,1.0
CLARK,1745453100000,2.5,,3.42,46.208019,-122.969047,Cowlitz,US-WA,Human,,,,,,,,11.1,0.45,1.0
NASSA POINT,1751677860000,2.5,,8.0,46.166416,-123.330135,Wahkiakum,US-WA,Human,,,,,,,,17.8,0.07,1.0
DRAGONFLY,1751936383000,2.5,,2.84,47.613573,-122.827164,Kitsap,US-WA,Human,,,,,,,,6.3,0.26,1.0
TIMBER CREEK,1753311180000,2.5,,1.7,47.823819,-122.170361,Snohomish,US-WA,Human,,,,,,,,3.9,0.11,1.0
ROSENKRANZ,1755743235000,2.5,,2.5,46.712056,-120.77127,Yakima,US-WA,Human,,,,,,,,3.7,0.21,1.0
REST HAVEN,1758397348000,2.5,,2.5,46.633182,-120.520364,Yakima,US-WA,Human,,,,,,,,15.2,0.03,1.0
PRATHER ROAD,1503705523000,2.4,,2.42,46.76887,-123.058,Thurston,US-WA,Human,,,,,,,,6.3,0.21,1.0
GUAVA,1631318972000,2.3,,2.3,46.81392,-123.0079,Thurston,US-WA,Undetermined,,,,,,,,1.0,0.02,1.0
FREDRICKSON,1619044170000,2.3,,2.38,45.95297,-122.599,Cowlitz,US-WA,Human,,,,,,,,13.7,0.09,1.0
KC3000,1501282987000,2.3,,2.3,47.01778,-123.1477,Thurston,US-WA,Undetermined,,,,,,,,17.6,0.3,1.0
CASCADE CANAL,1502813768000,2.2,,0.2,47.0628,-120.6664,Kittitas,US-WA,Human,,,,,,,,1.8,0.17,1.0
NORTH DRYDEN,1721972319000,2.14,,2.1,47.5371,-120.509094,Chelan,US-WA,Human,,,,,,,,15.9,0.04,1.0
STUDEBAKER,1629059771000,2.1,,2.06,45.99645,-122.4754,Cowlitz,US-WA,Human,,,,,,,,19.7,0.62,1.0
ALLEN CANYON,1471648084000,2.03,,2.03,45.84445,-122.7329,Clark,US-WA,Undetermined,,,,,,,,3.9,0.12,1.0
Power Line,1467515974000,2.0,,,47.17794,-120.8003,Kittitas,US-WA,Undetermined,,,,,,,,18.0,0.43,1.0
SIOUXON,1663895340000,2.0,,2359.0,45.93077,-122.0664,Skamania,US-WA,Human,Minimal,Type 5 Incident,,,1150000.0,2300000.0,100.0,18.7,0.4,1.0
MILE MARKER 31,1630964798000,2.0,,2.0,46.03122,-122.8535,Cowlitz,US-WA,Undetermined,,,,,,,,6.2,0.08,1.0
MOORE CREEK,1499289480000,2.0,,19.0,45.73034,-121.8896,Skamania,US-WA,Human,,,,,,,,15.0,0.4,1.0
MILEPOST 13,1530759113000,2.0,,4.0,46.80061,-120.3596,Kittitas,US-WA,Human,,,,,,,,10.4,0.09,1.0
WILDWOOD LANE,1553040300000,2.0,,85.0,46.15799,-123.3071,Wahkiakum,US-WA,Human,,,,,,,,19.7,0.39,1.0
WILLIE KEILS ,1552870680000,2.0,,4.0,46.64274,-123.0827,Pacific,US-WA,Unknown,,,,,,,,3.3,0.12,1.0
HIDDEN VALLEY,1596679295000,2.0,,2.0,47.1947,-120.7923,Kittitas,US-WA,Unknown,,,,,,,,11.1,0.45,1.0
Elk Lake,1532483040000,2.0,,0.25,47.57521,-123.1506,Mason,US-WA,Unknown,,,,,,,,39.7,0.49,1.0
WESTSIDE,1469911974000,2.0,,0.37,46.27038,-122.9232,Cowlitz,US-WA,Human,,,,,,,,4.0,0.06,1.0
HAYWARD SHOOTING RANGE,1537031837000,2.0,,6.0,47.11007,-120.719,Kittitas,US-WA,Unknown,,,,,,,,13.7,0.23,1.0
SLEEPER,1629352800000,2.0,,2.0,46.94413,-122.4103,Pierce,US-WA,Undetermined,,,,,,,,2.0,0.1,1.0
TUNNEL-  DNR SES Assist,1533071133000,2.0,,15.0,45.74403,-121.4099,Klickitat,US-WA,Human,,,,,,,,5.9,0.66,1.0
BLAINE 20,1473717766000,2.0,,2.0,48.93602,-122.7264,Whatcom,US-WA,Human,,,,,,,,1.6,0.01,1.0
ROCHESTER 183,1662839620000,2.0,,5.8,46.81478,-123.0652,Thurston,US-WA,Human,,,,,,,,1.2,0.11,1.0
Yellow Jacket,1442437740000,2.0,,2.0,48.693199,-120.502502,Okanogan,US-WA,Human,,,,,,,,53.7,1.12,1.0
WATERLOO,1630640760000,2.0,,2.0,48.27586,-122.6804,Island,US-WA,Human,,,,,,,,3.1,0.38,1.0
DEEP CREEK,1496694554000,2.0,,2.65,46.65344,-123.1147,Lewis,US-WA,Human,,,,,,,,6.3,0.2,1.0
SMITHSON ROAD,1594411146000,2.0,,2.0,47.11011,-120.6553,Kittitas,US-WA,Unknown,,,,,,,,3.5,0.66,1.0
HORNE,1553117128000,2.0,,0.75,45.74437,-122.4239,Clark,US-WA,Human,,,,,,,,10.4,0.13,1.0
NELSON ROAD,1627070700000,2.0,,11.0,47.19522,-121.054,Kittitas,US-WA,Undetermined,,,,,,,,11.4,0.04,1.0
Coldwater,1440711060000,2.0,,2.0,46.294399,-122.253403,Cowlitz,US-WA,Human,,,,,,,,16.8,0.74,1.0
EAST JOHNS,1532573100000,2.0,,1.0,47.24589,-123.0986,Mason,US-WA,Unknown,,,,,,,,1.9,0.14,1.0
COOKE CANYON,1527359640000,2.0,,2.0,47.109,-120.3647,Kittitas,US-WA,Human,,,,,,,,11.1,0.64,1.0
FS Cascadia,1505682000000,2.0,,2.0,48.5276,-121.3922,Skagit,US-WA,Human,,,,,,,,31.1,0.59,1.0
WALKWAY,1656188977000,2.0,,2.0,46.62896,-120.5617,Yakima,US-WA,Undetermined,,,,,,,,8.5,0.13,1.0
TAMARACK PEAK,1661560635000,2.0,,2.0,48.77494,-120.7334,Whatcom,US-WA,Undetermined,,,,,,,,37.6,1.36,1.0
Lake Toketie,1661462640000,2.0,,759.0,48.33044,-121.295,Skagit,US-WA,Natural,Minimal,Type 5 Incident,,,10000.0,10000.0,0.0,59.4,3.65,1.0
KING ,1557188163000,2.0,,5.7,46.53422,-123.0279,Lewis,US-WA,Natural,,,,,,,,14.3,0.27,1.0
CASCADE CANAL,1563576295000,2.0,,3.0,47.04788,-120.6491,Kittitas,US-WA,Unknown,,,,,,,,1.2,0.13,1.0
GRAPEVIEW RD,1599562800000,2.0,,2.0,47.32169,-122.8473,Mason,US-WA,Human,,,,,,,,4.9,0.04,1.0
GRIFFITH,1529619578000,2.0,,2.2,45.88283,-122.7182,Clark,US-WA,Human,,,,,,,,10.4,0.09,1.0
MILE MARKER 2,1534631280000,2.0,,7.5,47.27512,-123.1547,Mason,US-WA,Unknown,,,,,,,,3.4,0.46,1.0
GIBBONS CREEK,1460939727000,2.0,,2.0,47.58533,-123.24,Mason,US-WA,Human,,,,,,,,46.8,0.09,1.0
JOHN WAYNE TRAIL,1473976689000,2.0,,1.5,47.21779,-121.1321,Kittitas,US-WA,Human,,,,,,,,2.1,0.07,1.0
WEST 50TH AVE,1441753200000,2.0,,2.0,45.792702,-122.624802,Clark,US-WA,Human,,,,,,,,1.7,0.06,1.0
30 NORTH,1659906230000,2.0,,2.0,46.00919,-122.8454,Cowlitz,US-WA,Human,,,,,,,,7.1,0.02,1.0
PURPLE HAZE ,1599624734000,2.0,,2.0,46.06207,-122.2558,Cowlitz,US-WA,Unknown,,,,,,,,11.9,0.84,1.0
LOOWIT,1531693382000,2.0,,5.0,46.07665,-122.0072,Skamania,US-WA,Human,,,,,,,,14.3,0.45,1.0
Manastash Creek,1460063585000,2.0,,2.0,47.001099,-120.5495,Kittitas,US-WA,Human,,,,,,,,1.5,0.05,1.0
SOUTH SHORE,1467590640000,2.0,,3.29,47.52828,-123.7257,Jefferson,US-WA,Human,,,,,,,,26.4,0.8,1.0
ROCKPORT YARD,1586807173000,2.0,,1.0,48.5083,-121.4731,Skagit,US-WA,Human,,,,,,,,1.3,0.21,1.0
368TH ST,1556676764000,2.0,,12.0,46.92489,-122.5101,Pierce,US-WA,Unknown,,,,,,,,3.2,0.1,1.0
BIG ROCK SJI,1536184680000,2.0,,2.0,48.54097,-123.0859,San Juan,US-WA,Human,,,,,,,,3.9,0.22,1.0
SPRINGWATER,1618446600000,2.0,,5.0,46.82601,-122.2614,Pierce,US-WA,Unknown,,,,,,,,6.1,0.13,1.0
304TH STREET,1598290200000,2.0,,4.0,46.97586,-122.4052,Pierce,US-WA,Unknown,,,,,,,,2.5,0.27,1.0
SHOOTER HILL,1527996600000,2.0,,2.0,47.36805,-123.2797,Mason,US-WA,Human,,,,,,,,11.3,0.01,1.0
HARSTINE ISLAND,1533080700000,2.0,,19.7,47.22125,-122.8756,Mason,US-WA,Unknown,,,,,,,,2.6,0.45,1.0
BURNOUT ROAD,1501634820000,2.0,,48.0,48.66676,-122.4755,Skagit,US-WA,Undetermined,,,,,,,,26.6,0.18,1.0
MISSION CREEK,1624229160000,2.0,,16.0,47.47255,-120.4857,Chelan,US-WA,Undetermined,,,TU2,Timber,,,,24.6,0.38,1.0
CLEAR CREEK,1554089273000,2.0,,2.5,48.2523,-121.6013,Snohomish,US-WA,Human,,,,,,,,2.6,0.1,1.0
RAINBOW LANE,1532441040000,2.0,,1.3,47.40551,-123.1811,Mason,US-WA,Unknown,,,,,,,,4.6,0.02,1.0
YALE VIEW,1462134270000,2.0,,3.9,45.96412,-122.2896,Clark,US-WA,Human,,,,,,,,28.2,0.39,1.0
TOE JAM,1668889629000,2.0,,2.0,46.54293,-122.0462,Lewis,US-WA,Human,,,,,,,,22.1,0.32,1.0
SHEEP COMPANY,1663656984000,2.0,,17.8,46.75332,-120.5402,Yakima,US-WA,Undetermined,,,,,,,,7.3,0.81,1.0
Miller,1439413743000,2.0,,40.0,47.6539,-121.379601,King,US-WA,Undetermined,,,,,,,,47.0,0.59,1.0
GOODE,1438211458000,2.0,,613.0,48.7632,-120.7136,Chelan,US-WA,Undetermined,,Type 4 Incident,,,400000.0,,100.0,30.9,0.3,1.0
COSMOS - FINAL,1529572163000,2.0,,9.8,46.49613,-122.1888,Lewis,US-WA,Human,,,,,,,,7.9,0.02,1.0
KETRON ISLAND,1534012380000,2.0,,1.75,47.15627,-122.6341,Pierce,US-WA,Human,,,,,,,,0.0,0.04,1.0
MILE POST 41,1530570131000,2.0,,1.7,46.59855,-123.1485,Lewis,US-WA,Human,,,,,,,,6.1,0.27,1.0
72ND ST,1558568100000,2.0,,2.0,46.95937,-122.5251,Pierce,US-WA,Unknown,,,,,,,,1.7,0.01,1.0
SPROMBERG,1495569600000,2.0,,34.0,47.65004,-120.643,Chelan,US-WA,Undetermined,Minimal,Type 3 Incident,,,400000.0,,99.0,22.7,0.09,1.0
SNOWDEN,1570655932000,2.0,,1.61,45.74599,-121.3111,Klickitat,US-WA,Unknown,,,,,,,,9.2,,1.0
WHEELER,1533524040000,2.0,,2.0,48.23753,-121.9024,Snohomish,US-WA,Unknown,,,,,,,,25.7,0.12,1.0
BONNEY LANE,1438368690000,2.0,,2.0,46.9901,-122.9166,Thurston,US-WA,Human,,,,,,,,0.9,0.03,1.0
HAYWIRE RIDGE,1557850980000,2.0,,2.0,47.91478,-121.7779,Snohomish,US-WA,Human,,,,,,,,6.0,0.1,1.0
KNOX CREEK,1660236057000,2.0,,0.75,47.35557,-121.2042,Kittitas,US-WA,Natural,,,,,,,,28.9,0.39,1.0
VANTAGE HIGHWAY,1582923930000,2.0,,2.0,46.99909,-120.3564,Kittitas,US-WA,Unknown,,,,,,,,3.1,0.09,1.0
PNE 20,1528121334000,2.0,,2.4,46.59986,-123.5795,Pacific,US-WA,Human,,,,,,,,9.7,1.54,1.0
KOONTZ RD PILES,1491343484000,2.0,,2.0,46.56144,-122.8606,Lewis,US-WA,Human,,,,,,,,2.1,0.05,1.0
A-400,1438722960000,2.0,,1.0,46.959099,-123.585701,Grays Harbor,US-WA,Undetermined,,,,,,,,10.3,0.34,1.0
STANWOOD BRYANT,1586990486000,2.0,,90.0,48.2384,-122.1626,Snohomish,US-WA,Human,,,,,,,,2.0,0.02,1.0
NUMBER TWO CANYON,1526502600000,2.0,,3.4,47.36924,-120.4428,Chelan,US-WA,Human,,,,,,,,19.2,0.41,1.0
MADRONA BLUFF,1561944600000,2.0,,4.0,47.10051,-122.6783,Pierce,US-WA,Unknown,,,,,,,,7.8,0.22,1.0
Johnson Mountain,1532827546000,2.0,,2.0,47.99661,-121.1782,Snohomish,US-WA,Natural,Minimal,Type 5 Incident,,,1000.0,,0.0,34.7,0.35,1.0
HWY 101,1530246977000,2.0,,2.0,47.17209,-123.0961,Mason,US-WA,Unknown,,,,,,,,2.9,0.12,1.0
WINFIELD,1532463176000,2.0,,1.5,46.27815,-122.8917,Cowlitz,US-WA,Human,,,,,,,,6.8,0.1,1.0
STARTUP,1586820562000,2.0,,2.0,47.8596,-121.7306,Snohomish,US-WA,Human,,,,,,,,1.5,0.35,1.0
DOUGS BEACH,1525974900000,2.0,,2.0,45.65846,-121.202,Klickitat,US-WA,Unknown,,,,,,,,11.5,0.39,1.0
PIONEER,1439153570000,2.0,,4.0,46.367199,-124.036697,Pacific,US-WA,Human,,,,,,,,1.4,0.09,1.0
EAGLE,1500813293000,2.0,,2.0,46.80484,-120.919,Yakima,US-WA,Human,,,,,,,,22.2,0.08,1.0
Homestead,1627586640000,2.0,,1.5,47.41942,-121.6102,King,US-WA,Human,,,TL3,Timber,,,,31.6,0.08,1.0
TROUT LAKE,1536343440000,2.0,,2.0,47.49318,-120.9345,Chelan,US-WA,Unknown,,,,,,,,41.1,1.97,1.0
Chumstick,1462747260000,2.0,,3.2,47.70495,-120.637,Chelan,US-WA,Undetermined,,,,,,,,22.5,0.31,1.0
TANGLEWILDE,1438818498000,2.0,,4.0,47.046398,-122.8228,Thurston,US-WA,Undetermined,,,,,,,,2.3,0.06,1.0
CABIN,1439418060000,2.0,,10.0,47.6382,-123.0971,Jefferson,US-WA,Natural,,,,,,,,58.4,0.72,1.0
