feature,importance
discovery_doy,0.3553527857948263
log_wf_fsr,0.09177418556958426
log_cost,0.07639339221590906
log_personnel,0.05185271580062725
peak_season,0.04272559345904137
log_str_threatened,0.04270428079091961
years_since_2000,0.04251810338179602
start_year,0.041150938824171944
log_str_destroyed,0.03923934619439887
log_acres,0.03491372470313482
log_aerial,0.034630475649331
complexity_ord,0.034019476859449775
cost_per_acre,0.030155644444403374
personnel_per_acre,0.02985505681131273
log_new_acres,0.026501480800421674
aerial_per_acre,0.026212798700671943
zero_resources,0.0
